,Average over all rows
BLEU,0.4486727612040386
ROUGE-L,0.5505768520188277
METEOR,0.579154588629149
Cosine,0.8714761151508852
CodeBLEU,0.4906497104329796
Exact-match,4.545454545454546
Avg Edit Dist,648.8636363636364
