,Average over all rows
BLEU,0.23323690142863693
ROUGE-L,0.3546706143072789
METEOR,0.38905960877780904
Cosine,0.8865310793573206
CodeBLEU,0.28426582681362855
Exact-match,0.0
Avg Edit Dist,1137.590909090909
