,Average over all rows
BLEU,0.2567955600490804
ROUGE-L,0.3590527362839395
METEOR,0.38967077896993396
Cosine,0.8961766443469308
CodeBLEU,0.2983467542569789
Exact-match,0.0
Avg Edit Dist,1028.5454545454545
