,Average over all rows
BLEU,0.3772417905917043
ROUGE-L,0.4933132474879875
METEOR,0.5021527010343191
Cosine,0.8893102271990343
CodeBLEU,0.43808145709359464
Exact-match,0.0
Avg Edit Dist,586.6363636363636
