,Average over all rows
BLEU,0.3830928511255797
ROUGE-L,0.46795151620827957
METEOR,0.5403033478678497
Cosine,0.8755116110498254
CodeBLEU,0.44806491330834447
Exact-match,4.545454545454546
Avg Edit Dist,785.0
