,Average over all rows
BLEU,0.2830113669616879
ROUGE-L,0.4016289339345321
METEOR,0.4489863449328837
Cosine,0.8707669431513007
CodeBLEU,0.3145648653496767
Exact-match,0.0
Avg Edit Dist,967.3636363636364
