,Average over all rows
BLEU,0.3470981875784433
ROUGE-L,0.4920497726129977
METEOR,0.5760106954031722
Cosine,0.8818146044557745
CodeBLEU,0.46544691719776926
Exact-match,0.0
Avg Edit Dist,498.8181818181818
