,Average over all rows
BLEU,0.41430522464417585
ROUGE-L,0.5178933799101917
METEOR,0.5682051667769824
Cosine,0.8968385322527452
CodeBLEU,0.45215078762261185
Exact-match,0.0
Avg Edit Dist,594.7272727272727
