,Average over all rows
BLEU,0.22408221520910623
ROUGE-L,0.3443893069964039
METEOR,0.3751396668936388
Cosine,0.8237544481049884
CodeBLEU,0.2699412984306242
Exact-match,0.0
Avg Edit Dist,1099.590909090909
